Concurso;Data_concurso;Dezena_01;Dezena_02;Dezena_03;Dezena_04;Dezena_05;Dezena_06;Dezena_07;Dezena_08;Dezena_09;Dezena_10;Dezena_11;Dezena_12;Dezena_13;Dezena_14;Dezena_15;Dezena_16;Dezena_17;Dezena_18;Dezena_19;Dezena_20;
2410;28/12/2022;01;08;11;15;16;19;23;26;35;49;60;61;62;65;78;87;92;95;96;98;
2411;30/12/2022;00;01;02;07;09;15;19;29;39;40;57;61;66;68;82;88;89;93;95;96;
2412;02/01/2023;00;01;07;08;09;32;35;36;38;47;52;55;56;71;73;74;92;94;98;99;
2413;04/01/2023;06;11;13;16;19;24;26;37;42;46;47;53;58;70;85;87;88;93;94;99;
2414;06/01/2023;03;06;07;08;17;32;36;37;41;43;49;57;67;72;73;74;77;91;95;99;
2415;09/01/2023;02;07;11;27;32;39;47;60;61;62;64;69;70;71;74;81;87;91;94;95;
